100
CLASS      NAME       MARKS      ID
9          Bernard    50         1
3          Greig      61         2
3          Jack       55         3
2          Frank      50         4
9          Charles    50         5
3          Allan      85         6
5          Gerard     59         7
6          Lee        55         8
3          Blair      95         9
3          Liam       69         10
5          Ronald     90         11
5          Dominic    86         12
5          Malcolm    84         13
7          Hamish     63         14
6          Rory       61         15
3          Neil       91         16
3          Walter     77         17
6          Christian  81         18
6          Samuel     74         19
3          Alasdair   72         20
5          Frank      89         21
8          Niall      57         22
3          Owen       93         23
4          Paul       66         24
7          Lindsay    74         25
4          Blair      54         26
9          Duncan     94         27
8          Jeremy     57         28
4          Archibald  81         29
6          Shaun      79         30
3          Geoffrey   50         31
3          Angus      86         32
3          Shaun      79         33
7          Graham     87         34
2          Bruce      79         35
3          Norman     87         36
9          Christian  94         37
3          Graeme     50         38
6          Russell    58         39
6          Jeremy     68         40
5          Martin     81         41
6          George     62         42
6          Nathan     93         43
5          William    98         44
5          Darren     92         45
2          Callum     84         46
6          Norman     52         47
4          Antony     50         48
6          Raymond    89         49
9          Donald     88         50
8          Walter     82         51
3          Arthur     87         52
4          Blair      72         53
8          Fraser     71         54
3          Frank      99         55
6          Rory       91         56
4          Frank      51         57
5          Brian      76         58
6          Dean       50         59
8          Alister    87         60
4          Alasdair   85         61
6          Norman     97         62
4          Duncan     69         63
5          Gordon     89         64
8          Malcolm    78         65
9          Fergus     89         66
3          Steven     59         67
3          Francis    58         68
4          Gregory    90         69
8          Barry      50         70
4          Sean       72         71
3          Robin      58         72
6          Dean       57         73
3          Terry      58         74
9          Grant      58         75
8          Edward     53         76
2          Mark       64         77
7          William    98         78
8          Marcus     67         79
5          Bruce      68         80
9          Patrick    91         81
3          Duncan     72         82
9          Arthur     68         83
5          Damian     77         84
9          Alistair   96         85
3          Bernard    79         86
4          Aaron      93         87
7          Samuel     51         88
9          Martin     98         89
3          Jonathan   72         90
8          Bernard    61         91
9          Russell    99         92
3          George     54         93
4          Peter      80         94
3          William    96         95
3          Roderick   58         96
8          Lee        77         97
3          Damian     55         98
9          Lee        70         99
6          Norman     71         100
